handle,tweet
HillaryClinton,". <mention> realDonaldTrump, only someone who’s never actually faced the consequences of his mistakes would brag, “I play with bankruptcy.”"
HillaryClinton,"For the first time, <hashtag>DemPlatform explicitly calls for repealing the Hyde Amendment, which restricts women’s access to reproductive rights."
realDonaldTrump,"The truly great Phyllis Schlafly, who honored me with her strong endorsement for president, has passed away at 92. She was very special!"
HillaryClinton,"“For families making less than $125,000 a year, we’ll eliminate tuition at public colleges and universities.” —Hillary"
realDonaldTrump,"Great new poll Iowa - thank you!
<hashtag>MakeAmericaGreatAgain <hashtag>ImWithYou <url>"
HillaryClinton,"SCOTUS's decision is a victory for women in Texas and across America. Safe abortion should be a right—not just on paper, but in reality. -H"
realDonaldTrump,""" <mention> Trumptbird: Dear  I'm starting to believe that you're actually going to WIN! <hashtag>Trump2016 <hashtag>presidenttrump <hashtag>primary <url>"""
realDonaldTrump,"Join me this weekend! <hashtag>NYPrimary
4/16: SYRACUSE - NOON
<url>
4/16: WATERTOWN - 3pm
<url>
<hashtag>Trump2016"
HillaryClinton,"""Trump spent $20,000 of money earmarked for charitable purposes to buy a six-foot-tall painting of himself.” <url>"
HillaryClinton,So proud. <url>
HillaryClinton,"""We don’t fear the future; we shape it, we embrace it, as one people, stronger together than we are on our own.” — <mention> POTUS"
HillaryClinton,"Why would we give Trump's family a $4 billion tax cut when we could use that money to fix 8,000 bridges? <url>"
HillaryClinton,Families across America are feeling the strain from prescription drug price-gouging. Here's how we'll take this on: <url>
realDonaldTrump,"If I would have done the last debate, a record would have been set (instead of the poor ratings recieved). Also, VETS got $6,000,000."
HillaryClinton,The  <mention> ClintonFdn is saving lives around the world. <url>
HillaryClinton,"One year ago, love triumphed in our highest court. Yet LGBT Americans still face too many barriers. Let's keep marching until they don't. -H"
HillaryClinton,Over 60% of adults with disabilities aren’t in the workplace. We have to fix that. <url>
HillaryClinton,Pensando en mis hermanos y hermanas. My heart is broken. In solidarity with these families. <hashtag>OrlandoUnited <url>
realDonaldTrump,"Thank you- Plymouth, New Hampshire! <hashtag>FITN <hashtag>NHPrimary <url>"
HillaryClinton,"""She knows what it takes to beat a thin-skinned bully who is driven by greed and hate.” — <mention> ElizabethForMA on Hillary"
realDonaldTrump,Very proud of what my father has accomplished in the past 7 months -Wishing him amazing luck and success tonight! <hashtag>NVcaucus  <mention> realDonaldTrump
HillaryClinton,"RT if you believe that <hashtag>LoveTrumpsHate

Then make sure you're registered to vote: <url>"
realDonaldTrump,"I am returning to the Pensacola Bay Center in Florida- Friday, 9/9/16 at 7pm. Join me! <url>"
realDonaldTrump,"How long did it take your staff of 823 people to think that up--and where are your 33,000 emails that you deleted? <url>"
HillaryClinton,"""Don’t believe anyone who says 'I alone can fix it.’ Yes, those were actually Donald Trump’s words in Cleveland."" —Hillary"
HillaryClinton,Ted Cruz once called Donald Trump a pathological liar. And yet...here he is. <hashtag>RNCinCLE <url>
HillaryClinton,"Remember: Trump, the Birther-in-Chief, still refuses to even release his own tax returns and real medical records. <url>"
HillaryClinton,"""It's in the quiet moments you see why she does this."" Our latest ad:
<url>"
HillaryClinton,"""Killing police officers is a terrible crime...anyone who kills a police officer and anyone who helps must be held accountable."" —Hillary"
realDonaldTrump,"On  <mention> FoxNews at 7:00 P.M. ""Special: Meet the Trumps"" Hope you enjoy!"
realDonaldTrump,People very unhappy with Crooked Hillary and Obama on JOBS and SAFETY! Biggest trade deficit in many years! More attacks will follow Orlando
realDonaldTrump,Thank you America! <hashtag>Trump2016 <url>
realDonaldTrump,"With all of the Crooked Hillary Clinton's foreign policy experience, she has made so many mistakes - and I mean real monsters! No more HRC."
realDonaldTrump,""" <mention> ABCPolitics: . <mention> realDonaldTrump dominating  <mention> Google searches throughout <hashtag>GPLFers.  <url>"""
realDonaldTrump,"Thank you for the incredible support- Melania, Barron, Ivanka, Jared, Tiffany, Don, Vanessa, Eric, and Lara!
<url>"
HillaryClinton,"""They picked a nominee whose only plan is to build a higher wall."" — <mention> POTUS on  <mention> realDonaldTrump's dangerous policies
<url>"
HillaryClinton,"""I took a year off law school to volunteer with Jesuit missionaries in Honduras. I taught kids welding &amp; carpentry."" <url>"
HillaryClinton,Here are 35 questions Trump still needs to answer. <url>
HillaryClinton,"Our families and workplaces have changed in the 21st century. It's time for our policies—from paid leave to equal pay—to be updated, too."
HillaryClinton,"Marc and I are overwhelmed with gratitude and love as we celebrate the birth of our son, Aidan Clinton Mezvinsky."
HillaryClinton,"Tonight's only possible because millions of organizers, volunteers, and donors fought for this campaign. Thank you. <url>"
realDonaldTrump,""" <mention> VoteTrumpMAGA: The media attack on  <mention> realDonaldTrump is relentless. They are desperate. But, they keep <hashtag>Trump in the news - a good thing."
realDonaldTrump,"I will be the greatest job-producing president in American history. <hashtag>Trump2016 <hashtag>VoteTrump
<url>"
HillaryClinton,People have seen almost 40 years of tax returns from Hillary. One set from Trump really isn't too much to ask. <url>
HillaryClinton,Paid family leave isn't a luxury. Families shouldn't have to choose between eating and caring for loved ones. <url>
realDonaldTrump,""" <mention> MaryEH428:  <mention> RealBenCarson I thank God you are on board with  <mention> realDonaldTrump to help him and us <hashtag>MakeAmericaGreatAgain Ty!!"""
HillaryClinton,The  <mention> HoustonChron endorsed  <mention> MittRomney in 2012. Here's why they're endorsing Hillary in 2016: <url>
realDonaldTrump,"Join me in Florida on Wednesday! Daytona &amp; Jacksonville:

Daytona | 3pm- <url>
Jacksonville | 7pm- <url>"
HillaryClinton,This is what the <hashtag>gunviolence <hashtag>sitin looks like frm where I'm sitting <hashtag>AsLongAsItTakes <hashtag>NoBillNoBreak <hashtag>NoMoreSilence <url>
HillaryClinton,"""Investing in the health and education of women...is essential to improving global prosperity."" —Hillary <hashtag>TBT
<url>"
HillaryClinton,Major environmental group makes first ever endorsement of Hillary Clinton <url>
HillaryClinton,"On the fourth anniversary of <hashtag>DACA, Juan remembers that ""glass ceiling-shattering moment""→ <url>"
HillaryClinton,"""Everybody has a story. Everybody has a life worth dignity and protection.""
<url>"
HillaryClinton,"Donald Trump's foreign policy isn't just offensive, it's dangerous. <url>"
realDonaldTrump,"<hashtag>Trump2016 <hashtag>IACaucus Finder:
<url>"
realDonaldTrump,Word is that little Morty Zuckerman’s  <mention> NYDailyNews loses more than $50 million per year---can that be possible?
HillaryClinton,Hillary Clinton is the better candidate to take on Trump <url>
HillaryClinton,"“Mom measured her own life by how much she was able to help us and serve others."" —Hillary: <url>"
realDonaldTrump,When will CNN do a segment on Hillary’s plan to increase Syrian refugees 550% and how much it will cost?
HillaryClinton,Take it from  <mention> FLOTUS: This election is too important to sit out. Register to vote: <url>
HillaryClinton,"Donald Trump seems to think $15 million is a ""small loan."" <hashtag>debate <url>"
HillaryClinton,"When  <mention> BillClinton took office,  <mention> GeorgeHWBush left him a note that represents the best of our values.
<url>"
realDonaldTrump,Obama's deal vs. Trump's deals- <url>
realDonaldTrump,Thank you! <hashtag>GOPDebate <url>
realDonaldTrump,"Another attack, this time in Germany. Many killed. God bless the people of Munich."
realDonaldTrump,""" <mention> SirHatchporch: Mary Kissel is an SNL character, right? She's not a real person, right? <hashtag>MorningJoe""  She is a major loser - no clue!"
realDonaldTrump,"Thank you America! <hashtag>Trump2016
<url>"
HillaryClinton,"""We have never had a candidate that was more qualified to take the office of president."" — <mention> POTUS on Hillary <url>"
HillaryClinton,We need better community resources for the 1 in 4 college-aged students facing mental health challenges. <url>
realDonaldTrump,Thank you Arizona! <hashtag>VoteTrump <url>
HillaryClinton,"Happy birthday,  <mention> POTUS. <url>"
realDonaldTrump,"REUTERS POLL:  CLINTON, TRUMP ALL TIED UP... <url>"
realDonaldTrump,"THANK YOU California, Maryland, New York, and Pennsylvania! See you soon!
<hashtag>MakeAmericaGreatAgain <hashtag>Trump2016 <url>"
realDonaldTrump,THANK YOU Arkansas! Get out &amp; <hashtag>VoteTrump on Tuesday. We will MAKE AMERICA SAFE &amp; GREAT AGAIN! <url>
realDonaldTrump,The very dishonest  <mention> NBCNews refuses to accept the fact that I have forgiven my $50 million loan to my campaign. Done deal!
HillaryClinton,"We're going to keep fighting for equality, at home and around the world.
<url>"
realDonaldTrump,"Other than a small group of people who have suffered massive and embarrassing losses, the party is VERY united. Great love in the arena!"
HillaryClinton,Anybody working full-time should not be living in poverty. It’s time to raise the minimum wage. <url>
HillaryClinton,"You don't have to be LGBT to stand with the LGBT community. We all have a stake in equality. Thank you, Michael. <url>"
HillaryClinton,"""He’s causing nations to wonder if we’ll actually keep our word.” — <mention> JoeBiden on Donald Trump: <url>"
realDonaldTrump,Five people killed in Washington State by a Middle Eastern immigrant. Many people died this weekend in Ohio from drug overdoses. N.C. riots!
realDonaldTrump,""" <mention> jimhewitt: .  <mention> FrankCaliendo doing  <mention> realDonaldTrump on  <mention> MikeAndMike is awesome. ""Number one presidency of all time"""
HillaryClinton,"“Donald Trump has a…chance of becoming president."" <url>"
realDonaldTrump,I see where Mayor Stephanie Rawlings-Blake of Baltimore is pushing Crooked hard. Look at the job she has done in Baltimore. She is a joke!
HillaryClinton,"""She’s a fighter. She’s out there. She’s tough."" — <mention> elizabethforma on Hillary: <url>"
realDonaldTrump,"Crooked Hillary has once again been proven to be a person who is dishonest, incompetent and of very bad judgement."
realDonaldTrump,The rules DID CHANGE in Colorado shortly after I entered the race in June because the pols and their bosses knew I would win with the voters
HillaryClinton,"“Si el lugar donde estás no tiene espacio para tu voz, no tengas miedo de crear tu propio espacio”— Hillary en <hashtag>TheToast."
HillaryClinton,"""I accept your nomination for president of the United States!” —Hillary <url>"
realDonaldTrump,""" <mention> CatOnGlass: 200,000 new followers for  <mention> realDonaldTrump. From 10,800,000 to 11,000,000, All in the last ten days or so! <hashtag>MAGA <hashtag>AlwaysTrump"
realDonaldTrump,There are no buyers for the worthless  <mention> NYDailyNews but little Mort Zuckerman is frantically looking. It is bleeding red ink - a total loser!
realDonaldTrump,"Thank you Alabama! <hashtag>Trump2016
<hashtag>SuperTuesday"
HillaryClinton,21 years ago  <mention> HillaryClinton's speech pushed the political discourse and forced a global dialogue on gender equality <url>
HillaryClinton,Our first task has to be to make sure that the economic uncertainty created by these events does not hurt working families. <hashtag>BrexitVote
HillaryClinton,As president I will defend and protect America’s public lands. <url>
HillaryClinton,We also need to tackle the student debt crisis and help those like  <mention> jbrotherston who have already borrowed. <url>
HillaryClinton,"""Everyone who wants to go to college should be able to without drowning in debt."" —Hillary <url>"
realDonaldTrump,"Wow,  <mention> Politico is in total disarray
with almost everybody quitting. Good
news -- bad, dishonest journalists! <url>"
HillaryClinton,"""It’s true: I sweat the details of policy...because it’s not just a detail if it’s your kid, if it’s your family. It’s a big deal."""
realDonaldTrump,Good news is Melania's speech got more publicity than any in the history of politics especially if you believe that all press is good press!
realDonaldTrump,Many of the thugs that attacked the peaceful Trump supporters in San Jose were illegals. They burned the American flag and laughed at police
HillaryClinton,Trump has written a lot of books about business—but they all seem to end at Chapter 11.
HillaryClinton,"A small business owner sold Donald Trump pianos for his Atlantic City casino.

Trump stiffed him for the payment.
<url>"
HillaryClinton,Terrorists are taking advantage of the loopholes in our gun laws. Here's how we stop them: <url>
realDonaldTrump,Man shot inside Paris police station. Just announced that terror threat is at highest level. Germany is a total mess-big crime. GET SMART!
HillaryClinton,". <mention> FLOTUS brought the house down.
A Muslim family reminded us what America is about.
We shattered a glass ceiling. <url>"
HillaryClinton,"""It is ridiculous that there has never been a female president before.""
<url>"
HillaryClinton,"It’s wrong that some millionaires can pay a lower tax rate than their secretaries, and we’re going to stop it."
realDonaldTrump,Thank you! Together we will <hashtag>MakeAmericaGreatAgain! <url>
HillaryClinton,"Thanks to you, victory is in sight. Pitch in $1, and let's go win this nomination: <url>"
realDonaldTrump,"Yet another terrorist attack, this time in Turkey. Will
the world ever realize what is going on? So sad."
realDonaldTrump,"Will be delivering a major speech tonight - live on  <mention> oreillyfactor at 8:10pm from Pensacola, Florida."
realDonaldTrump,"Wow, Lyin' Ted Cruz really went wacko today. Made all sorts of crazy charges. Can't function under pressure - not very presidential. Sad!"
HillaryClinton,Is this the president we want for our daughters? <url>
realDonaldTrump,The American people agree. No free pass for <hashtag>CrookedHillary! <url>
HillaryClinton,“So guess what Donald? It turns out America is pretty great already.” — <mention> EvaLongoria <hashtag>DemsInPhilly
realDonaldTrump,"Thank you California, Connecticut, Maryland, and Pennsylvania!
<hashtag>MakeAmericaGreatAgain <hashtag>Trump2016 <url>"
HillaryClinton,"It took awhile, but we finally found a copy of Trump's speakers. <url>"
realDonaldTrump,"While our wonderful president was out playing golf all day, the TSA is falling apart, just like our government! Airports a total disaster!"
HillaryClinton,"Las personas LGBT merecen vivir, trabajar y amar libres de discriminación y violencia.
<url>"
HillaryClinton,"This week in 1848, the Seneca Falls Convention declared that women deserve equal rights.

168 years later... <url>"
realDonaldTrump,""" <mention> missi51: . <mention> realDonaldTrump thank God is not a politician, but he's one heck of a fighter who will fight for us, the people."""
realDonaldTrump,""" <mention> NathanDWilsonFL:  <mention> MariaBartiromo you had a great interview with Donald today! I started watching your show due to Donald Trump."
HillaryClinton,Watch live: Hillary speaks on the terrorist attack in Orlando → <url>
HillaryClinton,How will you feel if you wake up on Jan. 20 to President Trump? Chip in now to help keep him out of the White House: <url>
realDonaldTrump,Thank you America! <hashtag>Trump2016 <url>
realDonaldTrump,Bernie caved! <url>
HillaryClinton,"While families are struggling to pay for child care, Donald Trump actually argued that Americans are being paid too much."
HillaryClinton,"El emocionante momento cuando  <mention> lorellapraeli pudo votar por primera vez. ¡Felicitaciones!
<url>"
realDonaldTrump,"Another Dishonest Politician
<hashtag>LightweightSenatorMarcoRubio <url>"
realDonaldTrump,I will be making a big speech tomorrow to discuss the failed policies and bad judgment of Crooked Hillary Clinton.
HillaryClinton,"After a long wait, the Republican-led Senate finally confirmed Roberta Jacobson as the new U.S. ambassador to Mexico <url>"
HillaryClinton,"Starting on day one, we will work with both parties to pass the biggest investment in new, good-paying jobs since World War II."
HillaryClinton,Abusive payday lenders have preyed on Americans for too long.  <mention> CFPB's new rule will protect families; the next president should do the same.
realDonaldTrump,<hashtag>ImWithYou <url>
HillaryClinton,"Introducing ¡Hillary en español!, a new account to bring you the latest from this campaign in Spanish. Follow  <mention> Hillary_esp."
HillaryClinton,"The vast majority of gun owners agree: we have to prevent gun violence.

If we’re looking for common ground, this is common ground."
HillaryClinton,"“In politics and in life, ignorance is not a virtue.” — <mention> POTUS <url>"
HillaryClinton,"""I know Hillary won’t relent until ISIL is destroyed.” — <mention> POTUS"
realDonaldTrump,The situations in Tulsa and Charlotte are tragic. We must come together to make America safe again.
realDonaldTrump,""" <mention> RubinsteinNel:  <mention> realDonaldTrump  <mention> pearl_brendan  <mention> dphilbs If Trump doesn't win, we may not be able to recuperate America."""
HillaryClinton,There is no other Donald Trump. This is it. <url>
realDonaldTrump,It wasn't Matt Lauer that hurt Hillary last night. It was her very dumb answer about emails &amp; the veteran who said she should be in jail.
realDonaldTrump,"I hear Churchill had a nice turn of phrase, but Trump's immigration speech is the most magnificent speech ever given."
HillaryClinton,"“I would not have signed up for this. None of us would have. I am here today for my son, Trayvon Martin, who is in heaven” —Sybrina Fulton"
realDonaldTrump,"I am running against the Washington insiders, just like I did in the Republican Primaries. These are the people that have made U.S. a mess!"
realDonaldTrump,""" <mention> gregusp61: You really rocked them hard in S.C. Rubio and Cruz were pummled. So glad Jeb is gone! Next no liar!"""
realDonaldTrump,"Wow! Thank you Louisville, Kentucky!
<hashtag>VoteTrump on 3/5/2016! Lets <hashtag>MakeAmericaGreatAgain!
<url>"
HillaryClinton,GOP cares more about defunding  <mention> PPFA and protecting the Confederate flag than protecting millions from Zika: <url>
HillaryClinton,"Despite what Donald Trump may say, immigrants are not rapists and criminals."
HillaryClinton,"In today's vote on Planned Parenthood, the NH Executive Council can choose families or a political agenda. Watching which side they pick. -H"
realDonaldTrump,""" <mention> blt21muttrades: People are just mad that you're doing so good so they are gonna do they're best to stop you. Not gonna happen <hashtag>MAGA"""
HillaryClinton,"""When I look at  <mention> POTUS, I see someone who—in spite of obstruction he’s faced—still reaches for common ground and common purpose."" —Hillary"
realDonaldTrump,Watch: Donald Trump OWNS A Heckler Who Said Illegal Immigrants Are The Backbone Of America <url>
HillaryClinton,"Donald Trump is not someone who should ever have the nuclear codes.
<url>"
HillaryClinton,"Trump cannot be trusted with his own charity, but we are supposed to believe he can manage the nation’s treasury? <url>"
HillaryClinton,"Este <hashtag>HispanicHeritageMonth, honremos las tantas contribuciones que los hispanos y latinos han hecho a este país. <url>"
realDonaldTrump,Nielson Media Research final numbers on ACCEPTANCE SPEECH: TRUMP  32.2 MILLION.  CLINTON 27.8 MILLION.  Thank you!
HillaryClinton,"In Indiana, Hillary Clinton is taking on the state's new, restrictive abortion law. <url>"
HillaryClinton,Happy first day of summer. <url>
realDonaldTrump,""" <mention> hofmannken: DonaldTrump, wish I could attend one of your rallies, none are close enough. Make America Great Again for my Kids.Thank you"
realDonaldTrump,"We are going to make this a government of the people once again!
<hashtag>MakeAmericaGreatAgain <hashtag>ImWithYou
<url>"
realDonaldTrump,"Thank you Michigan! <hashtag>VoteTrumpMI
Trump 35%
Kasich 17%
Cruz 12%
Rubio 12%
Carson 9%
Via: ARG"
HillaryClinton,Keith Lamont Scott. Terence Crutcher. Too many others. This has got to end. -H
HillaryClinton,. <mention> realDonaldTrump has an economic plan...to cut the pay of hardworking UAW members. <url>
realDonaldTrump,"<hashtag>VoteTrumpMS! <hashtag>Trump2016
<url>"
realDonaldTrump,Yesterday in Iowa was amazing - two speeches in front of two great sold out crowds. They love that I am the only candidate self-funding!
realDonaldTrump,Ted Cruz attacked New Yorkers and New York values- we don't forget! <url>
HillaryClinton,Fixed it for you. <hashtag>RNCInCLE <url>
realDonaldTrump,"I think having Jeb's endorsement hurts Lyin' Ted. Jeb spent more than $150,000,000 and got nothing. I spent a fraction of that and am first!"
HillaryClinton,"When Trump tries to deflect blame for denying that  <mention> POTUS was born in America, he is lying. <url>"
HillaryClinton,"""A president should respect the men and women who risk their lives to serve our country."" —Hillary"
HillaryClinton,"Trump has banished members of the press who have criticized him.

Is there any doubt he would do the same as president?"
HillaryClinton,"""Pregnancy is...certainly an inconvenience for a business."" —Donald Trump

Here's Hillary's take →
<url>"
realDonaldTrump,""" <mention> CJCboi:  <mention> DRJAMESCABOT  <mention> realDonaldTrump  <mention> DanScavino  <mention> Carolde  <mention> PlaysTrumpCard Checked YOUR wallet lately, Mr Ailes?"""
HillaryClinton,Donald Trump is temperamentally unfit to be president of the United States.
HillaryClinton,"Trump's idea for a new immigration test: ""Those who...support bigotry and hatred will not be admitted.""

Awkward. <url>"
HillaryClinton,Donald Trump just selected a white nationalist leader to be a delegate at the  <mention> GOP convention. <url>
HillaryClinton,How will Trump guarantee that he'll put America's security over his own financial interests? <url>
realDonaldTrump,It was so great being in Nebraska last week. Today is the big day--get out and vote!
realDonaldTrump,"Thank you Windham, New Hampshire! <hashtag>TrumpPence16 <hashtag>MAGA <url>"
realDonaldTrump,""" <mention> CLewandowski_: . <mention> stuartpstevens --failed ""strategist"" who can't find clients criticizes winning <hashtag>TeamTrump. Stop complaining &amp; try winning"
HillaryClinton,"A man’s role in child care, according to Donald Trump: <url>"
realDonaldTrump,"Instead of driving jobs and wealth away, AMERICA will become the world's great magnet for innovation and job creati… <url>"
HillaryClinton,We'll make our economy and country more welcoming to people with disabilities. We all win when everyone gets to share in America's promise.
HillaryClinton,"""Hillary has a passion for kids and families. Donald Trump has a passion, too.

It's himself!"" — <mention> TimKaine <url>"
realDonaldTrump,"Last time lightweight  <mention> JebBush tried to knock off  <mention> marcorubio he made a total fool of himself. If he doesn't do better this time, he is out!"
HillaryClinton,"""We’re siding with students and with every American seeking an affordable college degree."" — <mention> TimKaine <url>"
HillaryClinton,I am here 👏🏻 for 👏🏻  <mention> HillaryClinton's amazing Donald Trump faceswap snapchat story <url>
realDonaldTrump,"Trump's speech today was Churchillian, only better.  You can tell by the spluttering hysteria on TV about  <mention> realDonaldTrump."
realDonaldTrump,""" <mention> grammy620: 1st time I heard <hashtag>Trump I said ""wow"". I liked him! I then became a closet <hashtag>Trump fan. Today? He's the ONLY 1 I will vote for!"
realDonaldTrump,"Join me in Indianapolis, Indiana tomorrow at 3pm! <hashtag>Trump2016
<hashtag>MakeAmericaGreatAgain
Tickets: <url>"
HillaryClinton,Join Hillary live in NC for her first rally since winning last night's debate → <url>
realDonaldTrump,"The media is going crazy. They totally distort so many things on purpose. Crimea, nuclear, ""the baby"" and so much more. Very dishonest!"
realDonaldTrump,""" <mention> 60Minutes: DonaldTrump and his running mate  <mention> Mike_Pence to appear on <hashtag>60Minutes in first joint interview. CBS <url>"""
realDonaldTrump,"Ted Cruz is incensed that I want to refocus NATO on terrorism, as well as current mission, but also want others to PAY FAIR SHARE, a must!"
HillaryClinton,"The Great Recession hit our whole country hard, but the toll was especially hard on black and Latino families."
realDonaldTrump,"THANK YOU, SYRACUSE! <hashtag>NYPrimary
<url>"
HillaryClinton,Tell a girl to run - for office! <hashtag>DeclareYourAmbition at <url>
HillaryClinton,The woman Trump called “Miss Piggy” has a name: Alicia. <hashtag>debatenight <url>
HillaryClinton,"""If I’m good at anything in public life, it’s because I started at the local level—listening to people...&amp; trying to find consensus."" —Kaine"
HillaryClinton,Donald Trump proves every day that he’s not in it for the American people—he’s in it only for himself. <url>
realDonaldTrump,"""Stay on message"" is the chant. I always do - trade, jobs, military, vets, 2nd A, repeal Ocare, borders, etc - but media misrepresents!"
realDonaldTrump,We will repeal and replace the horrible disaster known as <hashtag>Obamacare! <url>
realDonaldTrump,"If Michael Bloomberg ran again for Mayor of New York, he wouldn't get 10% of the vote - they would run him out of town!  <hashtag>NeverHillary"
realDonaldTrump,. <mention> TraceAdkins great job on FOX this morning. Keep up the good work!
realDonaldTrump,"Thank you Sacramento, California! <hashtag>MakeAmericaGreatAgain <url>"
HillaryClinton,"America has always been a nation of immigrants and refugees. On <hashtag>WorldRefugeeDay, let's reaffirm our commitment to welcoming them. -H"
HillaryClinton,Mike Pence wanted to use your federal tax dollars to fund more of this:  <url>
HillaryClinton,Hillary Clinton has a plan for you to spend a lot less on day care <url>
HillaryClinton,"""If we’re serious about keeping our country safe, we also can’t afford to have a president who’s in the pocket of the gun lobby."" —Hillary"
realDonaldTrump,""" <mention> realDonaldTrump &amp;  <mention> HillaryClinton leading POLLS w/ one week until <hashtag>IowaCaucus ...MORE on the 2016 elections TONIGHT on  <mention> FoxBusiness 7PM"""
HillaryClinton,"In a new interview,  <mention> POTUS talks about why Hillary has everything it takes to be president.
<url>"
realDonaldTrump,""" <mention> Keeblerqueen:  <mention> RealRudyGiulian  <mention> realDonaldTrump Thanks Rudy!!! Trump will be a great president!!"""
HillaryClinton,The company you keep says a lot about you (maybe no one ever told Donald Trump). <url>
realDonaldTrump,"Carly Fiorina- I agree! Ted Cruz is just another politician. All talk- no action!
<url>"
HillaryClinton,History &gt; bedtime. <url>
HillaryClinton,“This woman had never been satisfied with the status quo. She always wants to move the ball forward.” — <mention> BillClinton on Hillary
HillaryClinton,"Trump says he wants to ""make America great again,"" but his real message remains “make America hate again.” <url>"
HillaryClinton,Joe and Hillary went home to Scranton. Take a behind-the-scenes look at their visit: <url>
realDonaldTrump,"Thank you for your support!
<hashtag>AmericaFirst <hashtag>ImWithYou <url>"
